traj_id,head_xyz_final,head_rpy_final_deg,hand_xyz_final,hand_rpy_final_deg,min_head_goal_dist,min_hand_goal_dist,final_head_goal_dist,final_hand_goal_dist,vis_frac_head,vis_frac_hand,longest_invis_gap_head,longest_invis_gap_hand,t_since_view_to_grasp_h,t_since_view_to_grasp_d,grasp_success_step,overall_success,traj_length
/traj_278,[1.2333492  0.92442316 0.95772535],[119.35250683   6.30686897   3.53519401],[1.04507089 1.20595217 1.01419652],[176.63907684  15.62800783  51.11996691],1.6829071044921875,1.7232297658920288,1.8146476745605469,1.8907904624938965,1.0,0.9054726368159204,0,169,-178,-178,22,True,201
/traj_279,[ 0.15243837  1.80077481 -0.7021085 ],[134.58188146  46.06331077  35.36229681],[-1.11348701  1.91879213  0.80996293],[-172.20964662   21.51661687  102.02902464],1.8580152988433838,2.158198595046997,1.938809871673584,2.361706256866455,1.0,1.0,0,0,-185,-185,15,True,201
/traj_28,[-0.54235899  1.99267852 -0.91879964],[147.75707279  55.1563342   52.45502057],[-1.84607351  1.24045217  1.37678766],[-174.14086398    3.79676812  117.71822811],2.1266210079193115,2.2603490352630615,2.2603349685668945,2.615770101547241,1.0,1.0,0,0,-183,-183,17,True,201
/traj_280,[1.5371635  0.92188001 0.90978557],[120.03113039  13.16160189   7.49854898],[1.21003115 1.45798266 0.92569673],[175.92700177  16.26417953  58.11402296],1.9576011896133423,1.7500944137573242,2.0100855827331543,2.1087443828582764,1.0,0.8905472636815921,0,175,-184,-184,16,True,201
/traj_281,[-1.41211975  1.57562125 -0.15359814],[-125.94756724   33.93332016  157.96208078],[-1.58516562  0.39579159  1.72729099],[-164.09450737  -12.55462694 -176.05142441],1.8772022724151611,1.6469093561172485,2.1213808059692383,2.3775901794433594,1.0,0.8159203980099502,0,151,-159,-159,41,True,201
/traj_282,[-1.66640151  1.57363164 -0.30794045],[-153.02397056   56.86950751  121.291707  ],[-2.12843418  0.42096138  1.38769627],[-157.70508149   10.84808331  154.95205174],2.312582492828369,2.2119579315185547,2.312582492828369,2.575488567352295,1.0,1.0,0,0,-181,-181,19,True,201
/traj_283,[-1.93420148  1.35703766  0.08327442],[-136.45354277   47.7659938   142.08285974],[-1.92826962 -0.13648222  1.64680624],[-158.00745071    2.13943629  169.84993816],2.336864948272705,2.2525079250335693,2.3642380237579346,2.5394530296325684,1.0,1.0,0,0,-181,-181,19,True,201
/traj_284,[-2.02140832  1.31233132  0.14254101],[-133.42371558   44.85647263  146.27476576],[-1.87693799 -0.30847967  1.71954298],[-156.54225079   -0.20043902  177.01906503],2.4142541885375977,2.4669106006622314,2.4142541885375977,2.5641536712646484,1.0,1.0,0,0,-180,-180,20,True,201
/traj_285,[0.99972689 0.98867464 0.9122628 ],[121.52703838 -21.25040754 -12.53534096],[1.05739796 0.84041208 1.0889219 ],[174.88009074  13.68915747   9.60027319],1.6760532855987549,1.721704363822937,1.6760532855987549,1.734973669052124,1.0,0.900497512437811,0,172,-182,-182,18,False,201
/traj_286,[-1.97244143  1.33932638  0.13694638],[-135.9146095    47.29302137  142.813329  ],[-2.01053143 -0.23889571  1.53945875],[-161.51059852    4.58840905  169.49810276],2.3816652297973633,2.440670967102051,2.388111114501953,2.5434703826904297,1.0,1.0,0,0,-184,-184,16,True,201
/traj_287,[-1.55112052  1.69841266 -0.45655158],[-162.57558716   59.29555609  110.05310187],[-2.37554741  0.23156521  1.03640485],[-176.95023665   11.88394996  147.14691814],2.2603633403778076,2.335132360458374,2.344998836517334,2.6021111011505127,1.0,1.0,0,0,-175,-175,25,True,201
/traj_288,[1.01471794 0.85811448 1.06814718],[119.2290224   -4.05241332  -2.26444057],[1.05900383 0.89194524 1.05765283],[174.55107328  15.21998179  35.08675876],1.5533337593078613,1.5767968893051147,1.7049784660339355,1.7423217296600342,1.0,0.9154228855721394,0,167,-175,-175,25,True,201
/traj_289,[ 0.24439457  1.93770587 -0.92803681],[130.37146329  41.22934528  29.2641254 ],[-1.49353659  1.94426286  0.80209965],[176.47623219  15.04128333  96.73731486],1.886360764503479,2.1317360401153564,2.1623332500457764,2.57956862449646,1.0,0.9850746268656716,0,179,-181,-181,19,True,201
/traj_29,[-1.16722929  1.6299355  -0.36086261],[-133.73358309   45.67154232  145.6121917 ],[-1.85746658  0.61136109  1.28438294],[-160.29194854    2.12827701  175.14075531],1.8397196531295776,1.789121150970459,2.036991834640503,2.339569330215454,1.0,0.9104477611940298,0,169,-179,-179,21,False,201
/traj_290,[-0.002435    1.9192493  -0.72519159],[175.05859193  60.73889651  84.34025125],[-1.11812305  1.68099844  1.35894346],[-170.51430704    1.15650241  128.5595123 ],1.6543546915054321,1.8300483226776123,2.0516886711120605,2.4336562156677246,1.0,0.9054726368159204,0,175,-181,-181,19,False,201
/traj_291,[1.26119626 0.84623539 1.19105804],[119.25080604  -4.29855819  -2.40371613],[1.33021569 0.71258318 1.17517984],[176.40986463   9.86089936  28.15946975],1.9179677963256836,1.8280372619628906,1.9301164150238037,1.9126672744750977,1.0,0.8955223880597015,0,174,-183,-183,17,True,201
/traj_292,[0.65267223 0.47439766 1.8048557 ],[123.076911   -26.79909707 -16.36515977],[1.32020152 0.08721394 1.27439141],[165.89126615  10.50602159   7.3703681 ],1.9637771844863892,1.816686987876892,1.9770023822784424,1.837011694908142,1.0,0.9054726368159204,0,174,-182,-182,18,True,201
/traj_293,[0.76688594 0.48962492 1.75845003],[122.30523495 -24.31283245 -14.59194962],[1.41022766 0.17977476 1.19542611],[163.55626982  13.24610339   6.60843049],1.749967098236084,1.6051267385482788,1.979897141456604,1.8574457168579102,1.0,0.9253731343283582,0,171,-178,-178,22,True,201
/traj_294,[-0.76697487  1.80818629 -0.7692284 ],[161.72236944  59.13102547  68.95356112],[-1.76773965  1.44220698  1.02966237],[-160.59052597   18.85989586  126.81995542],1.953262209892273,2.249894857406616,2.1093838214874268,2.50301194190979,1.0,1.0,0,0,-185,-185,15,True,201
/traj_295,[-1.60249424  1.64530146 -0.37739474],[-154.97530791   57.47986099  118.97076285],[-2.17651224  0.34086806  1.38521886],[-160.24240407    9.92418777  156.43766141],2.3247947692871094,2.4110982418060303,2.3275375366210938,2.6023504734039307,1.0,1.0,0,0,-180,-180,20,True,201
/traj_296,[1.64754462 1.08488357 0.64098966],[121.53018224  21.34228244  12.58686725],[1.13294184 1.82986498 0.61074084],[-177.62799726   23.73090659   69.74840236],1.983330249786377,1.717486023902893,2.0741851329803467,2.237178325653076,0.9850746268656716,0.7014925373134329,182,131,-138,-138,62,True,201
/traj_297,[-1.90388238  1.42825079  0.0771175 ],[-140.78255953   51.03676501  136.38526476],[-1.84036016 -0.11857778  1.75945556],[-164.74713516   -3.00598021  159.04187484],2.363419532775879,2.481285810470581,2.381305456161499,2.548856496810913,1.0,1.0,0,0,-184,-184,16,True,201
/traj_298,[-0.42647985  1.91491938 -0.71467811],[-167.98805605   60.12922456  103.7863956 ],[-1.3483988   1.47684741  1.4334414 ],[-169.42763699   -0.5501337   135.81220071],1.6531075239181519,1.911184549331665,2.0879573822021484,2.4604902267456055,1.0,0.8805970149253731,0,173,-180,-180,20,False,201
/traj_299,[ 0.76204407  1.90280282 -0.81142586],[122.66541596  25.49687476  15.42869098],[-0.94485724  2.22655296  0.94194138],[176.76518151  11.79967074  76.75429862],2.101788282394409,2.4340176582336426,2.204491376876831,2.5956785678863525,1.0,1.0,0,0,-189,-189,11,False,201
